,l,b,d,r,phi,x,y,z,vlos,vll,vbb,mu_l,mu_b,vphi,vr,vT,vz,vx,vy
20,61.0740222618,-0.000113324360767,3.87813436255,7.00196434333,0.506096092476,6.12422365821,3.39431719931,0.0,14.0998777766,-102.910320499,-6.87786182623,-5.5976488765,-0.374110733866,254.430685089,3.55897750797e-10,222.689323106,0.0,-107.952306304,194.773802625
21,52.0486796853,-0.000116796064391,7.9585764151,7.00196434333,1.111270191,3.10553538189,6.275599944,0.0,10.6943918713,-230.730493718,-6.64795753889,-6.11569839859,-0.176209492813,254.430685089,3.55424994873e-10,222.689323106,0.0,-199.588149137,98.7679368483
22,302.061524952,2.77868897672e-05,5.99630919427,7.00196434333,5.47104663846,4.8169862945,-5.08174652102,0.0,-24.6678996226,-188.313058162,-7.85128288875,-6.62477664381,-0.276204932429,254.430685089,3.55089237853e-10,222.689323106,0.0,161.619031099,153.198640372
23,50.2764654349,-0.000117139541669,8.4543765628,7.00196435547,1.19083216595,2.59693886061,6.50256975277,0.0,9.99522238112,-246.179082203,-6.6288321989,-6.14251547566,-0.165398717076,254.430684207,5.68901182947e-09,222.689322719,0.0,-206.80665891,82.5926163987
24,311.296253177,9.10398919669e-06,8.87152732236,7.00196434333,5.02377039745,2.14521922711,-6.66524861749,0.0,-23.9769768352,-275.825379731,-7.96464332689,-6.55862354,-0.189384665263,254.430685089,3.55655183121e-10,222.689323106,0.0,211.980471505,68.2261997023
25,24.0136661794,-0.000109160463927,13.5083304155,7.00344916927,2.2389985845,-4.33916814678,5.49726477992,0.0,-1.11898963623,-404.793184919,-6.73699529091,-6.32134321587,-0.105206463607,254.372426519,4.2365166989e-10,222.685544899,0.0,-174.794072661,-137.970591321
26,351.672828754,-6.89582419252e-05,14.8226039819,7.00344916927,3.45312853351,-6.66633053352,-2.14670386511,0.0,-14.1760844354,-451.012834293,-7.47729064506,-6.41863048954,-0.106413747158,254.372426519,4.23182953649e-10,222.685544899,0.0,68.2577838978,-211.966334224
27,315.786605344,-9.61258505974e-08,9.96797811885,7.00344916927,4.83484633865,0.855482030541,-6.95100357949,0.0,-23.3713136146,-308.807724812,-7.9809639092,-6.53519139616,-0.16889838719,254.372426519,4.23329682973e-10,222.685544899,0.0,221.017955907,27.2013799936
28,53.0443589911,-0.00011655404228,7.66970802838,7.00344916927,1.06568674658,3.38899243912,6.12886861616,0.0,11.0363198164,-221.71160877,-6.66048892675,-6.09797854698,-0.183190762148,254.372426519,4.24354395506e-10,222.685544899,0.0,-194.876897714,107.758278775
29,293.904893517,4.37049234861e-05,4.96101515425,7.513116803,5.63508630924,5.98970329592,-4.5354579176,0.0,-7.60936923731,-154.884679307,-7.73067051508,-6.58583719358,-0.328715129458,235.683452085,1.71615095229e-08,221.339663006,0.0,133.616547365,176.459243708
30,69.9057933332,-0.000107209665374,2.78476483403,7.51311681177,0.355534571582,7.04325056541,2.61525251176,0.0,-0.51462718801,-70.4539693333,-7.04822880562,-5.33676448363,-0.533890957717,235.683451535,2.74558443336e-07,221.339662748,0.0,-77.0464670684,207.497200505
31,10.0383897007,-9.5424467842e-05,15.260105854,7.513116803,2.77970520454,-7.02649416122,2.65994434112,0.0,-10.3179646496,-444.247614818,-7.02439686721,-6.14109157087,-0.0971022982516,235.683452085,1.71626702135e-08,221.339663006,0.0,-78.3631080999,-207.003549991
32,331.311456498,-3.15442890928e-05,13.4753573015,7.513116803,4.17883493472,-3.8211456443,-6.46883065635,0.0,-11.3769384811,-399.286263464,-7.8693264343,-6.25060320409,-0.123189905402,235.683452085,1.71624336261e-08,221.339663006,0.0,190.574542497,-112.572599561
33,298.398959683,3.50236756661e-05,1.17353292159,7.513116803,6.14534860188,7.44185903609,-1.03230721321,0.0,-8.1520035837,-42.6786884866,-7.54259601776,-7.67000876688,-1.35551910409,235.683452085,1.71637076249e-08,221.339663006,0.0,30.4122159698,219.240378442
34,312.902154678,5.81720519267e-06,11.5810230839,8.48410348191,4.72609088791,0.116244763905,-8.48330708195,0.0,11.5493731865,-324.325086598,-7.96685594815,-5.90760162186,-0.145116776547,206.179137165,-6.58822175517e-10,218.65564194,0.0,218.635116808,2.99590564091
35,22.6125192982,-0.000108064209378,15.2918719619,8.48410348192,2.37592077221,-6.116333513,5.87966633828,0.0,-20.2551274917,-413.906105749,-6.78546759602,-5.70977765992,-0.0936045899148,206.179137165,-1.0535952435e-08,218.65564194,0.0,-151.533066548,-157.632545798
36,352.902303618,-7.09838959769e-05,16.3650149776,8.48410348191,3.382249006,-8.2396064578,-2.02210220126,0.0,-7.78370842476,-448.995410992,-7.43453646287,-5.78766767112,-0.0958331093871,206.179137165,-6.59546583057e-10,218.65564194,0.0,52.1144108902,-212.354368756
37,222.03717654,0.000117262443443,0.6373443689,8.48410348191,6.23286135672,8.47336275295,-0.426773416101,0.0,25.9591792449,-4.48981492667,-6.24673659708,-1.48490624353,-2.06596893774,206.179137165,-6.58455681605e-10,218.65564194,0.0,10.9989718364,218.378827661
